"DATE","TIME PERIOD","OIS - Wholesale - Weighted average rate - 1 month (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FC._Z._Z.EUR._Z)","OIS - Wholesale - Weighted average rate - 3 months (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FE._Z._Z.EUR._Z)","OIS - Wholesale - Weighted average rate - 6 months (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FF._Z._Z.EUR._Z)","OIS - Wholesale - Weighted average rate - 12 months (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FH._Z._Z.EUR._Z)","OIS - Wholesale - Weighted average rate - 2 years (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FI._Z._Z.EUR._Z)","OIS - Wholesale - Weighted average rate - 5 years (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FK._Z._Z.EUR._Z)","OIS - Wholesale - Weighted average rate - 10 years (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FL._Z._Z.EUR._Z)","OIS - Wholesale - Weighted average rate - Over 10 years (bucket)  (MMSR.B.U2._X._Z.S1ZV._Z.O._X.WR._X.FM._Z._Z.EUR._Z)"
"2017-03-14","14 Mar 2017","-0.44","-0.44","-0.44","-0.42","-0.39","-0.13","0.48","0.87"
"2017-05-02","02 May 2017","-0.44","-0.44","-0.44","-0.42","-0.37","-0.09","0.47","0.97"
"2017-06-13","13 Jun 2017","-0.32","-0.45","-0.44","-0.43","-0.38","","0.52","0.99"
"2017-07-25","25 Jul 2017","-0.44","-0.44","-0.44","-0.42","-0.36","-0.04","0.56","0.98"
"2017-09-12","12 Sep 2017","-0.44","-0.44","-0.44","-0.43","-0.39","-0.09","","1.05"
"2017-10-31","31 Oct 2017","-0.44","-0.44","-0.44","-0.43","-0.39","-0.05","0.58","0.98"
"2017-12-19","19 Dec 2017","-0.43","-0.43","-0.43","-0.43","-0.39","-0.06","0.54","0.87"
"2018-01-30","30 Jan 2018","-0.44","-0.43","-0.43","-0.42","-0.33","0.12","0.67"
"2018-03-13","13 Mar 2018","-0.44","-0.43","-0.44","-0.42","-0.32","0.21","0.83","1.20"
"2018-05-02","02 May 2018","-0.45","-0.45","-0.44","-0.44","-0.35","0.14","0.71","1.09"
"2018-06-19","19 Jun 2018","-0.45","-0.44","-0.44","-0.44","-0.36","0.09","0.68","1.03"
"2018-07-31","31 Jul 2018","-0.44","-0.44","-0.44","-0.44","-0.38","","0.61","1.07"
"2018-09-18","18 Sep 2018","-0.44","-0.44","-0.44","-0.43","-0.35","0.05","0.62","0.89"
"2018-10-30","30 Oct 2018","-0.44","-0.44","-0.44","-0.43","-0.31","0.16","0.74","1.21"
"2018-12-18","18 Dec 2018","-0.44","-0.44","-0.44","-0.43","-0.34","0.07","0.64","1.05"
"2019-01-29","29 Jan 2019","-0.44","-0.44","-0.44","-0.43","-0.38","","0.53","0.89"
"2019-03-12","12 Mar 2019","-0.45","-0.45","-0.45","-0.43","-0.37","-0.11","0.41","0.75"
"2019-04-16","16 Apr 2019","-0.45","-0.45","-0.45","-0.45","-0.41","-0.17","0.27","0.62"
"2019-06-11","11 Jun 2019","-0.45","-0.45","-0.46","-0.47","-0.46","-0.28","0.17","0.57"
"2019-07-30","30 Jul 2019","-0.46","-0.50","-0.54","-0.58","-0.62","-0.47","-0.08","0.38"
