"DATE","TIME PERIOD","OIS - CCPs - Weighted average rate - MP-dated trades  (MMSR.Q.U2._X._Z.S125E1._Z.O._X.WR._X.MP.MP1.1.EUR._Z)","OIS - Wholesale - Weighted average rate - Forward 12M24M (bucket)  (MMSR.Q.U2._X._Z.S1ZV._Z.O._X.WR._X.FT._Z._Z.EUR._Z)"
"2017-03-31","2017Q1","","-0.32"
"2017-06-30","2017Q2","-0.42","-0.33"
"2017-09-30","2017Q3","-0.43","-0.31"
"2017-12-31","2017Q4","-0.43","-0.33"
"2018-03-31","2018Q1","-0.39","-0.22"
"2018-06-30","2018Q2","-0.43","-0.29"
"2018-09-30","2018Q3","-0.44","-0.26"
"2018-12-31","2018Q4","","-0.22"
"2019-03-31","2019Q1","","-0.33"
"2019-06-30","2019Q2","-0.59","-0.44"
"2019-09-30","2019Q3","-0.66","-0.73"
"2019-12-31","2019Q4","-0.55","-0.59"
"2020-03-31","2020Q1","","-0.62"
"2020-06-30","2020Q2","","-0.60"
"2020-09-30","2020Q3","-0.58","-0.64"
"2020-12-31","2020Q4","-0.57","-0.66"
"2021-03-31","2021Q1","","-0.59"
"2021-06-30","2021Q2"
"2021-09-30","2021Q3","","-0.53"
"2021-12-31","2021Q4","-0.57","-0.36"
"2022-03-31","2022Q1","","0.29"
"2022-06-30","2022Q2","1.15","1.46"
"2022-09-30","2022Q3","1.82","1.68"
"2022-12-31","2022Q4","2.37","2.74"
"2023-03-31","2023Q1","","3.07"
"2023-06-30","2023Q2","3.83","3.13"
"2023-09-30","2023Q3","3.89","3.31"
"2023-12-31","2023Q4","3.91","2.74"
"2024-03-31","2024Q1","","2.26"
"2024-06-30","2024Q2","3.20","2.71"
"2024-09-30","2024Q3","2.88","2.09"
"2024-12-31","2024Q4","2.60","1.78"
"2025-03-31","2025Q1","1.92","2.01"
"2025-06-30","2025Q2","1.64","1.73"
"2025-09-30","2025Q3","1.80","1.84"
