"DATE","TIME PERIOD","Individual bank contribution to overall systemic risk using CoVaR,  5th percentile (RDE.D.D0.Z0Z.DE.EC.SRCB_COVAR.5P)","Individual bank contribution to overall systemic risk using CoVaR,  95th percentile (RDE.D.D0.Z0Z.DE.EC.SRCB_COVAR.95P)","Individual bank contribution to overall systemic risk using CoVaR,  Average (RDE.D.D0.Z0Z.DE.EC.SRCB_COVAR.AVE)","Individual insurance company  contribution to overall systemic risk using CoVaR, 5th percentile (RDE.D.D0.Z0Z.DE.EC.SRCI_COVAR.5P)","Individual insurance company  contribution to overall systemic risk using CoVaR, 95th percentile (RDE.D.D0.Z0Z.DE.EC.SRCI_COVAR.95P)","Individual insurance company  contribution to overall systemic risk using CoVaR, Average (RDE.D.D0.Z0Z.DE.EC.SRCI_COVAR.AVE)"
"1999-01-15","15 Jan 1999","-0.093586","-0.010071","-0.048683","-0.131004","-0.027014","-0.077890"
"1999-01-22","22 Jan 1999","-0.125901","-0.021885","-0.070829","-0.140611","-0.043596","-0.094717"
"1999-01-29","29 Jan 1999","-0.121470","-0.020586","-0.065764","-0.140894","-0.040168","-0.091520"
"1999-02-05","05 Feb 1999","-0.101802","-0.020767","-0.058273","-0.127739","-0.035204","-0.080480"
"1999-02-12","12 Feb 1999","-0.105209","-0.017773","-0.060607","-0.117645","-0.036526","-0.079500"
"1999-02-19","19 Feb 1999","-0.095890","-0.019654","-0.056268","-0.109100","-0.033366","-0.076728"
"1999-02-26","26 Feb 1999","-0.092656","-0.021650","-0.056575","-0.112237","-0.032136","-0.076030"
"1999-03-05","05 Mar 1999","-0.079774","-0.020580","-0.050818","-0.093993","-0.028579","-0.064929"
"1999-03-12","12 Mar 1999","-0.074396","-0.020797","-0.047080","-0.092757","-0.027519","-0.061507"
"1999-03-19","19 Mar 1999","-0.064357","-0.018499","-0.041097","-0.079191","-0.024307","-0.054174"
"1999-03-26","26 Mar 1999","-0.075247","-0.021712","-0.046432","-0.089823","-0.027423","-0.060645"
"1999-04-02","02 Apr 1999","-0.087221","-0.021794","-0.052517","-0.095026","-0.029894","-0.063641"
"1999-04-09","09 Apr 1999","-0.100694","-0.027361","-0.061349","-0.117708","-0.035638","-0.067381"
"1999-04-16","16 Apr 1999","-0.050566","-0.011575","-0.032667","-0.057236","-0.010501","-0.037060"
"1999-04-23","23 Apr 1999","-0.104074","-0.030344","-0.064725","-0.123181","-0.039379","-0.071428"
"1999-04-30","30 Apr 1999","-0.088555","-0.025561","-0.057166","-0.092691","-0.028800","-0.055096"
"1999-05-07","07 May 1999","-0.078326","-0.023792","-0.054292","-0.088064","-0.026758","-0.050646"
"1999-05-14","14 May 1999","-0.104824","-0.034513","-0.063985","-0.102398","-0.033564","-0.059730"
"1999-05-21","21 May 1999","-0.104466","-0.032432","-0.064870","-0.101263","-0.034438","-0.061869"
"1999-05-28","28 May 1999","-0.081842","-0.025830","-0.054902","-0.092547","-0.021578","-0.051606"
"1999-06-04","04 Jun 1999","-0.094247","-0.030207","-0.058995","-0.095333","-0.032259","-0.055013"
"1999-06-11","11 Jun 1999","-0.077666","-0.029733","-0.051962","-0.077626","-0.027318","-0.046686"
"1999-06-18","18 Jun 1999","-0.080393","-0.025981","-0.053280","-0.076796","-0.027492","-0.047447"
