"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions, Stocks (BSI.M.U2.N.V.M10.X.1.U2.2300.Z01.E)","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions, Transactions (BSI.M.U2.N.V.M10.X.4.U2.2300.Z01.E)","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions, Stocks (BSI.M.U2.N.V.M20.X.1.U2.2300.Z01.E)","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions, Transactions (BSI.M.U2.N.V.M20.X.4.U2.2300.Z01.E)","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions, Stocks (BSI.M.U2.Y.V.M10.X.1.U2.2300.Z01.E)","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions, Transactions (BSI.M.U2.Y.V.M10.X.4.U2.2300.Z01.E)","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions, Annual growth rate (BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A)","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions, Stocks (BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E)","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions, Transactions (BSI.M.U2.Y.V.M20.X.4.U2.2300.Z01.E)","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions, Annual growth rate (BSI.M.U2.Y.V.M20.X.I.U2.2300.Z01.A)"
"1980-01-31","1980Jan","444852.27","","1080273.33","","444330.00","","","1070496.00"
"1980-02-29","1980Feb","440073.67","-4778.60","1080016.31","-257.02","447116.00","2786.00","","1078232.00","7736.00"
"1980-03-31","1980Mar","447850.49","7776.82","1090054.98","10038.67","451370.00","4254.00","","1088333.00","10101.00"
"1980-04-30","1980Apr","448945.81","1095.32","1092061.07","2006.09","453226.00","1856.00","","1093263.00","4930.00"
"1980-05-31","1980May","452286.12","3340.31","1097620.42","5559.35","455917.00","2691.00","","1100958.00","7695.00"
"1980-06-30","1980Jun","467166.30","14880.18","1112043.67","14423.25","458753.00","2836.00","","1109205.00","8247.00"
"1980-07-31","1980Jul","466043.41","-1122.89","1117560.80","5517.13","464938.00","6185.00","","1120452.00","11247.00"
"1980-08-31","1980Aug","459263.57","-6779.84","1117514.99","-45.81","465216.00","278.00","","1127098.00","6646.00"
"1980-09-30","1980Sep","466001.25","6737.68","1124085.03","6570.04","466718.00","1502.00","","1133419.00","6321.00"
"1980-10-31","1980Oct","464731.65","-1269.60","1128915.73","4830.70","473228.00","6510.00","","1145159.00","11740.00"
"1980-11-30","1980Nov","481987.10","17255.45","1154239.56","25323.82","476657.00","3429.00","","1160031.00","14872.00"
"1980-12-31","1980Dec","492650.26","10663.16","1198035.02","43795.47","473379.00","-3278.00","","1165452.00","5421.00"
"1981-01-31","1981Jan","476508.05","-16142.21","1185787.85","-12247.17","476622.00","3243.00","7.3","1175008.00","9556.00","9.8"
"1981-02-28","1981Feb","475180.67","-1327.38","1191439.16","5651.31","480316.00","3694.00","7.4","1186668.00","11660.00","10.1"
"1981-03-31","1981Mar","476580.40","1399.73","1195068.04","3628.88","481349.00","1033.00","6.6","1194414.00","7746.00","9.7"
"1981-04-30","1981Apr","477209.09","628.68","1201981.47","6913.43","482746.00","1397.00","6.5","1204188.00","9774.00","10.1"
"1981-05-31","1981May","486156.35","8947.26","1216319.95","14338.48","486588.00","3842.00","6.7","1215847.00","11659.00","10.4"
"1981-06-30","1981Jun","494938.82","8782.47","1224320.41","8000.46","487093.00","505.00","6.2","1223076.00","7229.00","10.3"
"1981-07-31","1981Jul","486452.04","-8486.77","1224131.46","-188.95","488660.00","1567.00","5.1","1230470.00","7394.00","9.8"
"1981-08-31","1981Aug","482937.55","-3514.50","1222519.49","-1611.97","489042.00","382.00","5.1","1234000.00","3530.00","9.5"
"1981-09-30","1981Sep","491639.48","8701.94","1235502.69","12983.20","493362.00","4320.00","5.7","1246150.00","12150.00","9.9"
"1981-10-31","1981Oct","488624.29","-3015.19","1239115.09","3612.40","494975.00","1613.00","4.6","1253958.00","7808.00","9.5"
"1981-11-30","1981Nov","503127.46","14503.17","1256082.48","16967.39","497550.00","2575.00","4.4","1264026.00","10068.00","9.0"
"1981-12-31","1981Dec","519134.58","16007.12","1308298.64","52216.15","499258.00","1708.00","5.5","1273805.00","9779.00","9.3"
"1982-01-31","1982Jan","508184.76","-10949.83","1304500.50","-3798.14","504513.00","5255.00","5.9","1287848.00","14043.00","9.6"
"1982-02-28","1982Feb","505693.03","-2491.72","1308888.73","4388.23","507652.00","3139.00","5.7","1299092.00","11244.00","9.5"
"1982-03-31","1982Mar","506139.68","446.64","1313237.08","4348.35","512323.00","4671.00","6.4","1313351.00","14259.00","10.0"
"1982-04-30","1982Apr","508383.13","2243.45","1321305.89","8068.81","517834.00","5511.00","7.3","1326733.00","13382.00","10.2"
"1982-05-31","1982May","519015.53","10632.40","1333497.89","12192.00","519493.00","1659.00","6.8","1334764.00","8031.00","9.8"
"1982-06-30","1982Jun","532428.67","13413.14","1348116.89","14618.99","525037.00","5544.00","7.8","1347524.00","12760.00","10.2"
"1982-07-31","1982Jul","528072.24","-4356.44","1354395.64","6278.75","527685.00","2648.00","8.0","1358609.00","11085.00","10.4"
"1982-08-31","1982Aug","526323.98","-1748.26","1358537.05","4141.41","534112.00","6427.00","9.2","1372472.00","13863.00","11.2"
"1982-09-30","1982Sep","534766.55","8442.57","1370312.49","11775.45","537908.00","3796.00","9.0","1382740.00","10268.00","11.0"
"1982-10-31","1982Oct","537822.96","3056.42","1378428.97","8116.47","540880.00","2972.00","9.3","1389853.00","7113.00","10.8"
"1982-11-30","1982Nov","552997.55","15174.59","1391951.30","13522.33","548081.00","7201.00","10.2","1401761.00","11908.00","10.9"
"1982-12-31","1982Dec","570578.13","17580.58","1449908.08","57956.78","551435.00","3354.00","10.5","1414556.00","12795.00","11.0"
"1983-01-31","1983Jan","560451.85","-10126.28","1442306.17","-7601.91","556058.00","4623.00","10.2","1425088.00","10532.00","10.7"
"1983-02-28","1983Feb","558655.99","-1795.86","1444592.08","2285.92","561066.00","5008.00","10.5","1435898.00","10810.00","10.5"
"1983-03-31","1983Mar","556214.44","-2441.55","1441222.06","-3370.02","564440.00","3374.00","10.2","1443423.00","7525.00","9.9"
"1983-04-30","1983Apr","562411.05","6196.60","1450437.29","9215.23","569885.00","5445.00","10.1","1453878.00","10455.00","9.6"
"1983-05-31","1983May","572976.31","10565.26","1460614.53","10177.24","574912.00","5027.00","10.7","1464343.00","10465.00","9.7"
"1983-06-30","1983Jun","588354.95","15378.64","1474462.48","13847.95","581509.00","6597.00","10.8","1474969.00","10626.00","9.5"
"1983-07-31","1983Jul","591184.42","2829.47","1487081.30","12618.82","586440.00","4931.00","11.1","1486582.00","11613.00","9.4"
"1983-08-31","1983Aug","579687.77","-11496.65","1482810.87","-4270.42","589345.00","2905.00","10.3","1498206.00","11624.00","9.2"
"1983-09-30","1983Sep","583100.42","3412.65","1487292.39","4481.52","590795.00","1450.00","9.8","1503408.00","5202.00","8.7"
"1983-10-31","1983Oct","589869.07","6768.65","1500376.03","13083.64","593003.00","2208.00","9.6","1513481.00","10073.00","8.9"
"1983-11-30","1983Nov","602041.72","12172.65","1516045.09","15669.06","597800.00","4797.00","9.1","1526253.00","12772.00","8.9"
"1983-12-31","1983Dec","628682.12","26640.41","1579251.30","63206.21","603201.00","5401.00","9.4","1537092.00","10839.00","8.7"
"1984-01-31","1984Jan","609077.60","-19604.52","1560794.31","-18456.99","605312.00","2111.00","8.9","1543563.00","6471.00","8.3"
"1984-02-29","1984Feb","602325.91","-6751.69","1556308.86","-4485.45","607750.00","2438.00","8.3","1549774.00","6211.00","7.9"
"1984-03-31","1984Mar","600315.81","-2010.10","1555114.52","-1194.34","610604.00","2854.00","8.2","1559014.00","9240.00","8.0"
"1984-04-30","1984Apr","609466.54","9150.73","1567985.74","12871.22","613037.00","2433.00","7.6","1568820.00","9806.00","7.9"
"1984-05-31","1984May","613568.97","4102.43","1576865.03","8879.29","618405.00","5368.00","7.6","1583749.00","14929.00","8.2"
"1984-06-30","1984Jun","626388.08","12819.11","1590887.56","14022.53","620180.00","1775.00","6.7","1591965.00","8216.00","7.9"
"1984-07-31","1984Jul","627786.78","1398.70","1601633.83","10746.26","623188.00","3008.00","6.3","1603857.00","11892.00","7.9"
"1984-08-31","1984Aug","614506.70","-13280.08","1596946.25","-4687.58","630220.00","7032.00","6.9","1617813.00","13956.00","8.0"
