"DATE","TIME PERIOD","Excess liquidity asset amount, Significant institutions (SUP.Q.B01.W0._Z.A6600._T.SII._Z.ALL.LE.E.C)"
"2016-09-30","2016Q3"
"2016-12-31","2016Q4"
"2017-03-31","2017Q1"
"2017-06-30","2017Q2"
"2017-09-30","2017Q3"
"2017-12-31","2017Q4","54.2100"
"2018-03-31","2018Q1","38.2890"
"2018-06-30","2018Q2","31.0429"
"2018-09-30","2018Q3","13.6689"
"2018-12-31","2018Q4","9.3267"
"2019-03-31","2019Q1","1.6300"
"2019-06-30","2019Q2","2.4377"
"2019-09-30","2019Q3","1.1570"
"2019-12-31","2019Q4","3.4557"
"2020-03-31","2020Q1","0.9132"
"2020-06-30","2020Q2"
"2020-09-30","2020Q3"
"2020-12-31","2020Q4"
"2021-03-31","2021Q1"
"2021-06-30","2021Q2"
"2021-09-30","2021Q3","0.4556"
"2021-12-31","2021Q4"
"2022-03-31","2022Q1"
"2022-06-30","2022Q2"
"2022-09-30","2022Q3"
"2022-12-31","2022Q4","0.5668"
"2023-03-31","2023Q1"
"2023-06-30","2023Q2"
"2023-09-30","2023Q3"
"2023-12-31","2023Q4","1.3561"
"2024-03-31","2024Q1"
"2024-06-30","2024Q2"
"2024-09-30","2024Q3"
"2024-12-31","2024Q4","0.4182"
"2025-03-31","2025Q1"
"2025-06-30","2025Q2"
