date,3m,1w,2w,3w,1m,2m,4m,5m,6m,7m,8m,9m,10m,11m,12m
1999-01-01,3.245,3.245,,,3.254,3.249,3.239,3.239,3.233,3.23,3.222,3.22,3.215,3.214,3.213
1999-01-07,3.206,3.237,,,3.224,3.214,3.195,3.19,3.179,3.175,3.172,3.167,3.161,3.158,3.158
1999-01-13,3.183,3.214,,,3.206,3.196,3.168,3.157,3.141,3.135,3.13,3.121,3.116,3.109,3.107
1999-01-19,3.056,3.061,,,3.074,3.065,3.043,3.031,3.018,3.012,3.005,2.994,2.99,2.987,2.984
1999-01-25,3.069,3.123,,,3.111,3.091,3.049,3.033,3.016,3.006,3,2.992,2.986,2.981,2.981
1999-01-29,3.074,3.136,,,3.119,3.097,3.051,3.034,3.011,3.004,2.997,2.989,2.985,2.982,2.981
1999-02-04,3.105,3.174,,,3.157,3.126,3.08,3.061,3.043,3.033,3.026,3.022,3.018,3.021,3.02
1999-02-10,3.109,3.157,,,3.151,3.128,3.088,3.07,3.052,3.043,3.039,3.036,3.035,3.04,3.039
1999-02-16,3.092,3.104,,,3.113,3.104,3.074,3.06,3.044,3.039,3.036,3.032,3.032,3.037,3.038
1999-02-22,3.075,3.087,,,3.093,3.086,3.062,3.047,3.029,3.025,3.022,3.019,3.018,3.024,3.025
1999-02-26,3.098,3.126,,,3.12,3.109,3.08,3.066,3.055,3.051,3.049,3.048,3.061,3.065,3.071
1999-03-04,3.111,3.111,,,3.115,3.113,3.105,3.104,3.102,3.103,3.104,3.106,3.129,3.139,3.151
1999-03-10,3.081,3.073,,,3.086,3.085,3.071,3.064,3.055,3.053,3.051,3.051,3.068,3.074,3.078
1999-03-16,3.036,3.02,,,3.036,3.036,3.03,3.024,3.015,3.012,3.01,3.009,3.024,3.026,3.027
1999-03-22,3.02,3.017,,,3.025,3.024,3.015,3.008,2.999,2.997,2.993,2.991,3.005,3.008,3.009
1999-03-26,2.991,3.013,,,3.004,2.997,2.982,2.975,2.967,2.964,2.963,2.962,2.978,2.981,2.985
1999-04-01,2.942,3.001,,,2.963,2.951,2.933,2.927,2.92,2.918,2.919,2.937,2.938,2.938,2.939
1999-04-07,2.9,3.012,,,2.929,2.913,2.893,2.89,2.883,2.883,2.884,2.9,2.902,2.902,2.903
1999-04-13,2.651,2.655,,,2.647,2.649,2.654,2.658,2.663,2.672,2.678,2.704,2.706,2.71,2.713
1999-04-19,2.621,2.589,,,2.606,2.615,2.628,2.632,2.637,2.649,2.658,2.695,2.701,2.704,2.707
1999-04-23,2.594,2.557,,,2.578,2.589,2.601,2.607,2.613,2.623,2.634,2.671,2.674,2.678,2.683
1999-04-29,2.585,2.555,,,2.569,2.578,2.592,2.598,2.605,2.615,2.65,2.664,2.671,2.676,2.678
1999-05-05,2.581,2.554,,,2.566,2.574,2.588,2.594,2.604,2.614,2.657,2.666,2.674,2.681,2.684
1999-05-11,2.579,2.548,,,2.564,2.571,2.587,2.594,2.602,2.611,2.66,2.669,2.678,2.686,2.688
1999-05-17,2.575,2.55,,,2.56,2.567,2.58,2.584,2.592,2.601,2.649,2.659,2.666,2.673,2.678
1999-05-21,2.581,2.575,,,2.574,2.577,2.586,2.59,2.597,2.606,2.656,2.665,2.672,2.68,2.686
1999-05-27,2.577,2.555,,,2.565,2.572,2.582,2.587,2.593,2.609,2.65,2.657,2.666,2.672,2.678
1999-06-02,2.601,2.561,,,2.577,2.588,2.614,2.634,2.657,2.715,2.736,2.754,2.777,2.796,2.812
1999-06-08,2.6,2.565,,,2.582,2.59,2.613,2.629,2.648,2.717,2.731,2.743,2.759,2.773,2.784
1999-06-14,2.623,2.576,,,2.602,2.612,2.637,2.653,2.67,2.743,2.761,2.781,2.802,2.819,2.836
1999-06-18,2.632,2.616,,,2.616,2.622,2.644,2.655,2.665,2.747,2.761,2.775,2.793,2.809,2.819
1999-06-24,2.649,2.604,,,2.627,2.638,2.659,2.671,2.688,2.774,2.791,2.811,2.836,2.856,2.878
1999-06-30,2.669,2.629,,,2.636,2.65,2.683,2.708,2.823,2.831,2.843,2.859,2.887,2.911,2.936
1999-07-06,2.663,2.616,,,2.633,2.648,2.683,2.713,2.851,2.863,2.876,2.898,2.922,2.947,2.971
1999-07-12,2.665,2.588,,,2.625,2.647,2.687,2.714,2.868,2.878,2.892,2.908,2.942,2.97,2.997
1999-07-16,2.693,2.651,,,2.65,2.665,2.719,2.748,2.932,2.946,2.957,2.974,3.005,3.036,3.069
1999-07-22,2.681,2.589,,,2.632,2.658,2.713,2.736,2.917,2.939,2.957,2.97,2.999,3.026,3.05
1999-07-28,2.685,2.6,,,2.63,2.655,2.718,2.751,2.944,2.959,2.978,3.001,3.032,3.067,3.095
1999-08-03,2.705,2.603,,,2.637,2.674,2.751,3.011,3.037,3.061,3.089,3.124,3.158,3.193,3.233
1999-08-09,2.703,2.577,,,2.624,2.665,2.751,3.036,3.06,3.086,3.117,3.155,3.197,3.247,3.301
1999-08-13,2.704,2.593,,,2.623,2.664,2.751,3.05,3.068,3.091,3.121,3.152,3.192,3.241,3.28
1999-08-19,2.677,2.509,,,2.583,2.639,2.721,3.031,3.043,3.064,3.087,3.105,3.14,3.173,3.198
1999-08-25,2.686,2.582,,,2.602,2.647,2.721,3.032,3.048,3.067,3.087,3.107,3.13,3.159,3.188
1999-08-31,2.697,2.583,,,2.605,2.652,3.05,3.064,3.08,3.104,3.137,3.171,3.2,3.242,3.281
1999-09-06,2.69,2.574,,,2.597,2.646,3.059,3.071,3.084,3.105,3.131,3.163,3.19,3.219,3.242
1999-09-10,2.692,2.55,,,2.584,2.644,3.079,3.091,3.108,3.131,3.158,3.194,3.23,3.269,3.308
1999-09-16,2.69,2.542,,,2.582,2.64,3.084,3.1,3.118,3.145,3.174,3.207,3.244,3.284,3.32
