date,3m
1999-01-01,3.245
1999-01-07,3.206
1999-01-13,3.183
1999-01-19,3.056
1999-01-25,3.069
1999-01-29,3.074
1999-02-04,3.105
1999-02-10,3.109
1999-02-16,3.092
1999-02-22,3.075
1999-02-26,3.098
1999-03-04,3.111
1999-03-10,3.081
1999-03-16,3.036
1999-03-22,3.02
1999-03-26,2.991
1999-04-01,2.942
1999-04-07,2.9
1999-04-13,2.651
1999-04-19,2.621
1999-04-23,2.594
1999-04-29,2.585
1999-05-05,2.581
1999-05-11,2.579
1999-05-17,2.575
1999-05-21,2.581
1999-05-27,2.577
1999-06-02,2.601
1999-06-08,2.6
1999-06-14,2.623
1999-06-18,2.632
1999-06-24,2.649
1999-06-30,2.669
1999-07-06,2.663
1999-07-12,2.665
1999-07-16,2.693
1999-07-22,2.681
1999-07-28,2.685
1999-08-03,2.705
1999-08-09,2.703
1999-08-13,2.704
1999-08-19,2.677
1999-08-25,2.686
1999-08-31,2.697
1999-09-06,2.69
1999-09-10,2.692
1999-09-16,2.69
1999-09-22,2.687
1999-09-28,2.698
1999-10-04,3.225
1999-10-08,3.263
1999-10-14,3.379
1999-10-20,3.45
1999-10-26,3.485
1999-11-01,3.501
1999-11-05,3.505
1999-11-11,3.462
1999-11-17,3.449
1999-11-23,3.451
1999-11-29,3.445
1999-12-03,3.454
1999-12-09,3.461
1999-12-15,3.456
1999-12-21,3.466
1999-12-27,3.45
2000-01-03,3.338
2000-01-07,3.322
2000-01-13,3.322
2000-01-19,3.308
2000-01-25,3.322
2000-01-31,3.492
2000-02-04,3.493
2000-02-10,3.487
2000-02-16,3.488
2000-02-22,3.625
2000-02-28,3.616
2000-03-03,3.632
2000-03-09,3.714
2000-03-15,3.794
2000-03-21,3.766
2000-03-27,3.797
2000-03-31,3.831
2000-04-06,3.834
2000-04-12,3.917
2000-04-18,3.937
2000-04-26,4.036
2000-05-03,4.183
2000-05-09,4.319
2000-05-15,4.329
2000-05-19,4.461
2000-05-25,4.428
2000-05-31,4.453
2000-06-06,4.428
2000-06-12,4.549
2000-06-16,4.476
2000-06-22,4.518
2000-06-28,4.547
2000-07-04,4.547
2000-07-10,4.537
2000-07-14,4.558
2000-07-20,4.636
2000-07-26,4.631
2000-08-01,4.636
2000-08-07,4.639
2000-08-11,4.711
2000-08-17,4.841
2000-08-23,4.87
2000-08-29,4.915
2000-09-04,4.816
2000-09-08,4.86
2000-09-14,4.831
2000-09-20,4.818
2000-09-26,4.884
2000-10-02,4.991
2000-10-06,5.021
2000-10-12,5.007
2000-10-18,5.016
2000-10-24,5.1
2000-10-30,5.138
2000-11-03,5.125
2000-11-09,5.123
2000-11-15,5.085
2000-11-21,5.07
2000-11-27,5.075
2000-12-01,5.021
2000-12-07,4.956
2000-12-13,4.966
2000-12-19,4.916
2000-12-25,4.879
2000-12-29,4.855
2001-01-05,4.701
2001-01-11,4.797
2001-01-17,4.795
2001-01-23,4.756
2001-01-29,4.785
2001-02-02,4.724
2001-02-08,4.731
2001-02-14,4.743
2001-02-20,4.779
2001-02-26,4.811
2001-03-02,4.761
2001-03-08,4.778
2001-03-14,4.784
2001-03-20,4.766
2001-03-26,4.566
