date,Euribor_3m,Euribor_1w,Euribor_1m,Euribor_6m,Euribor_12m,VIX,EuroStoxx_Banks,Bund_10Y,ECB_Deposit,ECB_Marginal,ECB_Main,ECB_Yield_10Y,ECB_Yield_1Y,ECB_Yield_10Y,ECB_Yield_1Y,TIME PERIOD,Euro short-term rate - Calculation method (EST.B.EU000A2X2A25.CM),Euro short-term rate - Number of active banks (EST.B.EU000A2X2A25.NB),Euro short-term rate - Number of transactions (EST.B.EU000A2X2A25.NT),Euro short-term rate - Rate at 25th percentile of volume (EST.B.EU000A2X2A25.R25),Euro short-term rate - Rate at 75th percentile of volume (EST.B.EU000A2X2A25.R75),Euro short-term rate - Publication type (EST.B.EU000A2X2A25.RP),Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT),Euro short-term rate - Share of volume of the 5 largest active banks (EST.B.EU000A2X2A25.VL),Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT),OIS_1m,OIS_3m
2004-09-08,2.115,2.062,2.075,2.214,2.427,14.06,38881.92922016912,4.01636363636364,1.0,3.0,2.0,5.195932,2.731688,4.228419,2.346666,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-09-14,2.116,2.063,2.077,2.205,2.394,13.56,38881.92922016912,4.01636363636364,1.0,3.0,2.0,5.138031,2.634655,4.13065,2.29586,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-09-20,2.115,2.064,2.079,2.204,2.385,14.43,38881.92922016912,4.01636363636364,1.0,3.0,2.0,5.085004,2.596526,4.081284,2.281191,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-09-24,2.116,2.075,2.081,2.204,2.377,14.28,38881.92922016912,4.01636363636364,1.0,3.0,2.0,5.034066,2.58228,4.040459,2.281093,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-09-30,2.15,2.072,2.08,2.212,2.392,13.34,40114.83453387619,4.01636363636364,1.0,3.0,2.0,5.098378,2.605263,4.065687,2.281661,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-10-06,2.15,2.117,2.086,2.211,2.378,13.28,40114.83453387619,3.8947619047619,1.0,3.0,2.0,5.092075,2.574114,4.068815,2.279477,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-10-12,2.146,2.073,2.082,2.186,2.314,15.05,40114.83453387619,3.8947619047619,1.0,3.0,2.0,5.065762,2.447067,3.99307,2.207868,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-10-18,2.145,2.074,2.085,2.175,2.282,14.71,40114.83453387619,3.8947619047619,1.0,3.0,2.0,5.07265,2.39907,3.983234,2.184427,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-10-22,2.145,2.087,2.089,2.182,2.285,15.28,40114.83453387619,3.8947619047619,1.0,3.0,2.0,5.046504,2.39538,3.960501,2.191096,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-10-28,2.152,2.085,2.091,2.199,2.308,15.39,40114.83453387619,3.8947619047619,1.0,3.0,2.0,5.060085,2.441863,3.994896,2.219596,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-11-03,2.158,2.099,2.094,2.208,2.338,14.04,41973.066082054494,3.780454545454551,1.0,3.0,2.0,5.079803,2.436261,3.985772,2.198835,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-11-09,2.17,2.084,2.101,2.239,2.38,13.61,41973.066082054494,3.780454545454551,1.0,3.0,2.0,5.003367,2.449314,3.944108,2.246411,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-11-15,2.173,2.091,2.103,2.208,2.305,13.38,41973.066082054494,3.780454545454551,1.0,3.0,2.0,4.921982,2.356246,3.853985,2.203326,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-11-19,2.176,2.095,2.104,2.228,2.346,13.5,41973.066082054494,3.780454545454551,1.0,3.0,2.0,4.91224,2.418433,3.861852,2.236649,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-11-25,2.176,2.103,2.116,2.213,2.303,13.5,41973.066082054494,3.780454545454551,1.0,3.0,2.0,4.875337,2.321483,3.807568,2.179165,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-12-01,2.174,2.076,2.169,2.2,2.278,12.97,43033.71959494728,3.57952380952381,1.0,3.0,2.0,4.851796,2.300714,3.798845,2.160345,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-12-07,2.171,2.09,2.165,2.187,2.254,13.67,43033.71959494728,3.57952380952381,1.0,3.0,2.0,4.792975,2.254824,3.722882,2.138361,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2004-12-13,2.174,2.128,2.168,2.196,2.266,12.54,43033.71959494728,3.57952380952381,1.0,3.0,2.0,4.652863,2.276965,3.635391,2.152547,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
